x0000,y0000
1.687432088e+15,-6.971,
1.687432208e+15,-6.97,
1.687432328e+15,-6.97,
1.687432448e+15,-6.975,
1.687432568e+15,-6.981,
1.687432688e+15,-6.991,
1.687432808e+15,-7,
1.687432928e+15,-6.989,
1.687433048e+15,-6.985,
1.687433168e+15,-6.984,
1.687433288e+15,-6.992,
1.687433408e+15,-6.994,
1.687433528e+15,-7.013,
1.687433648e+15,-6.994,
1.687433768e+15,-6.996,
1.687433888e+15,-7.012,
1.687434008e+15,-7.012,
1.687434128e+15,-7.011,
1.687434248e+15,-7.007,
1.687434368e+15,-7.019,
1.687434488e+15,-6.995,
1.687434608e+15,-7.008,
1.687434728e+15,-6.995,
1.687434848e+15,-7.017,
1.687434968e+15,-7.014,
1.687435088e+15,-7.016,
1.687435208e+15,-7.021,
1.687435328e+15,-7.02,
1.687435448e+15,-7.027,
1.687435568e+15,-7.044,
1.687435688e+15,-7.033,
1.687435808e+15,-7.033,
1.687435928e+15,-7.028,
1.687436048e+15,-7.042,
1.687436168e+15,-7.026,
