x0000,y0000
1.687434368e+15,8.059,
1.687434488e+15,8.071,
1.687434608e+15,8.076,
1.687434728e+15,8.083,
1.687434848e+15,8.089,
1.687434968e+15,8.071,
1.687435088e+15,8.079,
1.687435208e+15,8.085,
1.687435328e+15,8.08,
1.687435448e+15,8.082,
1.687435568e+15,8.091,
1.687435688e+15,8.097,
1.687435808e+15,8.1,
1.687435928e+15,8.12,
1.687436048e+15,8.1,
1.687436168e+15,8.111,
